TICID,RA,Dec,Tmag,Keywords
43363531,9.8621,-24.5235,8.86,G011250;G011048
43400838,11.1128,-26.5149,7.15,G011183;G011025;G011132;G011250;G011048
439460803,19.5795,-23.5004,7.19,G011048
439466001,20.4664,-22.5029,9.3,G011048
63784926,11.8949,-25.395,8.31,G011250;G011048
98666300,9.4394,-22.9759,8.74,G011048
98671698,9.4918,-22.3374,8.24,G011048
98672854,9.7096,-18.8682,7.76,G011048;G011250
10819505,20.3955,-11.5826,8.76,G011250;G011048
136842430,22.8082,-10.8964,7.38,G011048;G011250
164720205,25.5332,-18.1262,8.46,G011048
164720249,25.5651,-17.8887,6.81,G011048;G011250
212381363,27.4183,-14.2329,7.77,G011048;G011250
212384268,27.8692,-16.7409,8.01,G011048;G011250
257482804,30.4524,-12.008,8.41,G011048;G011250
257486140,30.9638,-14.4628,8.81,G011048;G011250
257499753,31.1298,-13.8132,7.88,G011048;G011250
29902035,24.3675,-10.3315,8.21,G011250;G011048
29919831,24.8584,-10.8061,8.18,G011250;G011048
423699193,21.5141,-17.3102,8.64,G011048;G011250
13060949,347.5967,-27.9,12.48,G011180
13137986,349.3398,-25.7069,11.26,G011180
154618387,345.5208,-30.9538,10.92,G011180
155774856,347.3234,-32.5287,10.67,G011180
169304011,356.6573,-34.1671,10.24,G011180
218970017,348.7601,-35.4727,10.85,G011180
218985771,350.5657,-31.5225,14.15,G011180
229065556,344.9682,-32.0117,13.86,G011180
229075528,357.0728,-34.0211,13.97,G011180
270421604,350.1147,-24.6893,10.53,G011180
305044377,353.3468,-28.1449,12.01,G011180
305048087,353.2437,-29.4168,13.46,G011180
316769993,354.5376,-30.7799,12.5,G011180
47389863,341.8444,-27.7168,13.8,G011180
47466811,342.5673,-29.8732,12.96,G011180
76945808,352.4939,-32.1632,12.44,G011180
76961267,352.8237,-33.7242,11.34,G011180
77019836,353.632,-34.2292,12.77,G011180
12424274,2.5587,-28.8548,11.12,G011180
20891505,1.1884,-23.3363,11.44,G011180
246862726,7.4968,-24.6403,10.43,G011180
246893221,9.0497,-27.6221,11.61,G011180
